rank,title,year,rating,genres
77,forbidden planet,1956,98,classics
78,the best years of our lives,1946,96,classics
79,101 dalmatians,1961,98,classics
80,goldfinger,1964,97,classics
81,paths of glory,1957,95,classics
82,bringing up baby,1938,95,classics
83,some like it hot,1959,96,classics
84,duck soup,1933,94,classics
85,fantasia,1940,96,classics
86,sunrise: a song of two humans,1927,98,classics
87,the day the earth stood still,1951,94,classics
88,ran,1985,96,classics
89,rebel without a cause,1955,96,classics
90,peeping tom,1960,96,classics
91,a fistful of dollars,1964,98,classics
92,the lord of the rings: the two towers,2002,95,classics
93,the apartment,1960,94,classics
94,the birds,1963,96,classics
95,the young girls of rochefort,1968,98,classics
96,one flew over the cuckoo's nest,1975,94,classics
97,the bridge on the river kwai,1957,94,classics
98,dr. no,1962,96,classics
99,mean streets,1973,96,classics
100,don't look now,1973,96,classics
1,lady bird,2017,99,comedy
2,blackkklansman,2018,95,comedy
3,coco,2017,97,comedy
4,it happened one night,1934,98,comedy
5,modern times,1936,100,comedy
6,paddington 2,2018,100,comedy
7,the big sick,2017,98,comedy
8,eighth grade,2018,99,comedy
9,singin' in the rain,1952,100,comedy
10,a hard day's night,1964,98,comedy
11,la la land,2016,91,comedy
12,the philadelphia story,1940,100,comedy
13,toy story 2,1999,100,comedy
14,zootopia,2016,97,comedy
15,up,2009,98,comedy
16,"three billboards outside ebbing, missouri",2017,91,comedy
17,toy story 3,2010,98,comedy
18,finding nemo,2003,99,comedy
19,dr. strangelove or how i learned to stop worrying and love the bomb,1964,99,comedy
20,the death of stalin,2018,96,comedy
21,roman holiday,1953,98,comedy
22,toy story,1995,100,comedy
23,the lego movie,2014,96,comedy
24,ant-man and the wasp,2018,88,comedy
25,crazy rich asians,2018,91,comedy
26,monty python and the holy grail,1975,97,comedy
27,paterson,2016,96,comedy
28,sorry to bother you,2018,93,comedy
29,the gold rush,1925,100,comedy
30,shaun the sheep movie,2015,99,comedy
31,la dolce vita,1960,97,comedy
32,to be or not to be,1942,98,comedy
33,mary poppins,1964,100,comedy
34,city lights,1931,98,comedy
35,birdman,2014,91,comedy
36,love & friendship,2016,97,comedy
37,playtime,1973,100,comedy
38,the disaster artist,2017,91,comedy
39,annie hall,1977,97,comedy
40,the discreet charm of the bourgeoisie,1972,98,comedy
41,the artist,2011,95,comedy
42,his girl friday,1940,98,comedy
43,ratatouille,2007,96,comedy
44,the rules of the game,1939,98,comedy
45,tampopo,1985,100,comedy
46,isle of dogs,2018,89,comedy
47,the incredibles,2004,97,comedy
48,gentlemen prefer blondes,1953,98,comedy
49,the nice guys,2016,92,comedy
50,yellow submarine,1968,97,comedy
51,paddington,2015,98,comedy
52,spy,2015,94,comedy
53,chicken run,2000,97,comedy
54,logan lucky,2017,92,comedy
55,hunt for the wilderpeople,2016,96,comedy
56,101 dalmatians,1961,98,comedy
57,airplane!,1980,97,comedy
58,ghostbusters,1984,97,comedy
59,bringing up baby,1938,95,comedy
60,big,1988,97,comedy
61,some like it hot,1959,96,comedy
62,duck soup,1933,94,comedy
63,the player,1992,98,comedy
64,don't think twice,2016,98,comedy
65,"monsters, inc.",2001,96,comedy
66,the lego batman movie,2017,90,comedy
67,monty python's life of brian,1979,97,comedy
68,the grand budapest hotel,2014,91,comedy
69,sideways,2004,96,comedy
70,the apartment,1960,94,comedy
71,back to the future,1985,96,comedy
72,the edge of seventeen,2016,95,comedy
73,groundhog day,1993,96,comedy
74,what we do in the shadows,2015,96,comedy
75,tangerine,2015,97,comedy
76,bull durham,1988,97,comedy
77,who framed roger rabbit,1988,97,comedy
78,moonrise kingdom,2012,93,comedy
79,anomalisa,2015,92,comedy
80,lost in translation,2003,95,comedy
81,enough said,2013,95,comedy
82,broadcast news,1987,98,comedy
83,the taste of others,2000,100,comedy
84,the muppets,2011,95,comedy
85,the band's visit,2007,98,comedy
86,hannah gadsby: nanette,2018,100,comedy
87,repo man,1984,98,comedy
88,the truman show,1998,94,comedy
89,le havre,2011,99,comedy
90,say anything...,1989,98,comedy
91,wallace & gromit: the curse of the were-rabbit,2005,95,comedy
92,hairspray,1988,98,comedy
93,silver linings playbook,2012,92,comedy
94,american graffiti,1973,96,comedy
95,monsieur lazhar,2012,97,comedy
96,juno,2007,94,comedy
97,mafioso,1964,96,comedy
98,we are the best!,2014,96,comedy
99,manhattan,1979,95,comedy
100,bullets over broadway,1994,97,comedy
1,won't you be my neighbor?,2018,98,documentary
2,i am not your negro,2017,98,documentary
3,man on wire,2008,100,documentary
4,life itself,2014,97,documentary
5,faces places,2017,99,documentary
6,20 feet from stardom,2013,99,documentary
7,three identical strangers,2018,96,documentary
8,the last waltz,1978,98,documentary
9,amy,2015,95,documentary
10,taxi to the dark side,2007,100,documentary
11,kedi,2017,98,documentary
12,blackfish,2013,98,documentary
13,citizenfour,2014,97,documentary
14,murderball,2005,98,documentary
15,minding the gap,2018,100,documentary
16,shirkers,2018,100,documentary
17,tower,2016,99,documentary
