title,user_score,year,duration,country,usa_gross,world_gross
la telenovela errante,66.0,2017,80,Chile,3624,3624
bird of prey,48.0,1995,105,"USA, Bulgaria",3652,3652
suits,41.0,1999,88,USA,3676,3676
catch me if you can,61.0,1989,106,USA,3686,3686
la familia,67.0,2017,82,"Venezuela, Chile, Norway",3696,3696
the helix... loaded,21.0,2005,97,USA,3700,3700
duze zwierze,71.0,2000,73,Poland,3733,3733
fever pitch,67.0,1997,102,UK,3736,3736
nelly,56.0,2016,100,Canada,3751,3751
the hollow,55.0,2016,128,USA,3755,3755
shock to the system,67.0,2006,91,"Canada, USA",3768,3768
berkeley,50.0,2005,88,USA,3770,3770
second nature,48.0,2016,80,USA,3774,3774
unfreedom,51.0,2014,102,"USA, India",3778,3778
bawandar,70.0,2000,125,India,3779,3779
de grønne slagtere,73.0,2003,100,Denmark,3783,3783
ett hål i mitt hjärta,45.0,2004,98,"Sweden, Denmark",3784,3784
childhood's end,52.0,1996,115,USA,3804,3804
the second time around,66.0,2016,107,Canada,3837,3837
hollidaysburg,58.0,2014,88,USA,3861,3861
crown vic,64.0,2019,110,USA,3868,3868
american dresser,52.0,2018,97,USA,3895,3895
where god left his shoes,72.0,2007,96,USA,3911,3911
going under,48.0,2004,98,USA,3917,3917
"c'est pas moi, c'est l'autre",59.0,2004,90,"Canada, France, UK",3935,3935
just say love,56.0,2009,75,USA,3944,3944
armed,33.0,2018,118,USA,3948,3948
pickin' & grinnin',64.0,2010,108,USA,4000,4000
psychopathia sexualis,38.0,2006,102,USA,4012,4012
morning,57.0,2010,95,USA,4029,4029
la flor,77.0,2016,808,Argentina,4032,4032
the kitchen,50.0,2012,80,USA,4054,4054
three night stand,51.0,2013,86,Canada,4076,4076
ordinary sinner,52.0,2001,91,USA,4083,4083
solar flare,30.0,2008,87,USA,4098,4098
the painting,59.0,2001,97,USA,4115,4115
stella street,58.0,2004,80,"UK, USA",4119,4119
guy,62.0,1996,94,"Germany, USA",4134,4134
pawn,57.0,2013,88,USA,4141,4141
the hillside strangler,53.0,2004,98,USA,4143,4143
badsville,61.0,2017,97,"USA, Canada",4153,4153
melvin goes to dinner,68.0,2003,83,USA,4168,4168
daylight,51.0,2010,75,USA,4171,4171
3 geezers!,33.0,2013,81,USA,4175,4175
helena from the wedding,46.0,2010,89,USA,4190,4190
free the nipple,39.0,2014,78,USA,4198,4198
eden,58.0,1996,106,"USA, Canada",4210,4210
stella's last weekend,64.0,2018,102,USA,4215,4215
maximum ride,36.0,2016,88,USA,4218,4218
cocote,66.0,2017,106,"Argentina, Germany, Qatar, Dominican Republic",3815,4224
stella does tricks,63.0,1996,99,UK,4224,4224
my father die,56.0,2016,90,USA,4252,4252
set fire to the stars,57.0,2014,97,UK,4280,4280
state like sleep,44.0,2018,104,USA,4282,4282
brown's requiem,58.0,1998,104,USA,4287,4287
